No.,Title,Artist,Year,duration_sec
17,"Stood Up"" / ""Waitin' in School",Ricky Nelson,1958,121.124
18,He's Got the Whole World in His Hands,Laurie London,1958,141.56
19,Secretly,Jimmie Rodgers,1958,157.866
20,At the Hop,Danny & the Juniors,1958,150.866
21,Yakety Yak,The Coasters,1958,108.72
22,"Wear My Ring Around Your Neck"" / ""Doncha' Think It's Time",Elvis Presley,1958,133.92
23,"Rockin' Robin"" / ""Over and Over",Bobby Day,1958,143.32
24,Poor Little Fool,Ricky Nelson,1958,153.666
25,"A Wonderful Time Up There"" / ""It's Too Soon to Know",Pat Boone,1958,127.426
26,Just a Dream,Jimmy Clanton,1958,152.946
27,Sugartime,The McGuire Sisters,1958,153.706
28,Tom Dooley,The Kingston Trio,1958,183.973
29,Sweet Little Sixteen,Chuck Berry,1958,180.746
30,"Topsy II"" / ""Topsy I",Cozy Cole,1958,216.266
31,"Looking Back"" / ""Do I Like It",Nat King Cole,1958,244.487
32,Book of Love,The Monotones,1958,138.44
33,Tea for Two Cha Cha,Tommy Dorsey Orchestra & Warren Covington,1958,175.217
34,Tears on My Pillow,Little Anthony and the Imperials,1958,140.533
35,Short Shorts,The Royal Teens,1958,135.693
36,Great Balls of Fire,Jerry Lee Lewis,1958,111.535
37,Lollipop,The Chordettes,1958,130.533
38,Splish Splash,Bobby Darin,1958,131.719
39,Who's Sorry Now?,Connie Francis,1958,139.613
40,"My True Love"" / ""Leroy",Jack Scott,1958,129.933
41,Endless Sleep,Jody Reynolds,1958,143.68
42,Do You Want to Dance?,Bobby Freeman,1958,165.693
43,When,The Kalin Twins,1958,146.573
44,To Know Him Is to Love Him,The Teddy Bears,1958,144.84
45,April Love,Pat Boone,1958,163.36
46,Rebel-'Rouser,Duane Eddy,1958,143.626
47,Oh Julie,The Crescendos,1958,164.226
48,The Stroll,The Diamonds,1958,150.36
49,"Hard Headed Woman"" / ""Don't Ask Me Why",Elvis Presley,1958,226.973
50(Tie),Peggy Sue,Buddy Holly,1958,150.96
50(Tie),Oh Lonesome Me,Don Gibson,1958,149.026
1,The Battle of New Orleans,Johnny Horton,1959,151.626
2,Mack the Knife,Bobby Darin,1959,184.333
3,Personality,Lloyd Price,1959,155.213
