No.,Title,Artist,Year,duration_sec,genre
2,Despacito (Remix),Luis Fonsi and Daddy Yankee featuring Justin Bieber,2017,446.333,NA
3,That's What I Like,Bruno Mars,2017,206.693,NA
1,God's Plan,Drake,2018,198.973,rap
2,Perfect,Ed Sheeran,2018,263.4,soft pop
3,Meant to Be,Bebe Rexha featuring Florida Georgia Line,2018,342.013,country
1,Old Town Road,Lil Nas X featuring Billy Ray Cyrus,2019,164.649,psytrance
2,Sunflower,Post Malone and Swae Lee,2019,210,NA
3,Without Me,Halsey,2019,201.66,NA
1,Blinding Lights,The Weeknd,2020,200.04,NA
2,Circles,Post Malone,2020,215.28,NA
3,The Box,Roddy Ricch,2020,196.652,melodic rap
1,Levitating,Dua Lipa,2021,203.807,pop
2,Save Your Tears,The Weeknd and Ariana Grande,2021,184.492,NA
3,Blinding Lights,The Weeknd,2021,200.04,NA
